Date,5년 ~ 7년
2020.4.16,455.0946311
2020.4.17,455.4561803
2020.4.18,455.4017169
2020.4.19,455.3509497
2020.4.20,455.563467
2020.4.21,442.9541271
2020.4.22,443.0894293
2020.4.23,452.0045695
2020.4.24,454.4540265
2020.4.25,454.4166298
2020.4.26,457.4068753
2020.4.27,460.7029687
2020.4.28,461.4611324
2020.4.29,461.7236678
2020.4.30,461.8366627
2020.5.1,462.6355397
2020.5.2,462.7386639
2020.5.3,462.9894428
2020.5.4,463.067397
2020.5.5,463.1552067
2020.5.6,463.4034643
2020.5.7,463.7213018
2020.5.8,464.2444875
2020.5.9,464.4883907
2020.5.10,464.6126111
2020.5.11,465.0758412
2020.5.12,465.1481763
2020.5.13,466.0449061
2020.5.14,466.248001
2020.5.15,467.4072695
2020.5.16,468.1850068
2020.5.17,468.102217
2020.5.18,468.3078324
2020.5.19,468.9638327
2020.5.20,469.2024828
2020.5.21,469.4016344
2020.5.22,469.5977864
2020.5.23,469.7175053
2020.5.24,469.7488783
2020.5.25,469.8515707
2020.5.26,469.8559668
2020.5.27,470.2522784
2020.5.28,470.6154219
2020.5.29,470.6869293
2020.5.30,470.5242876
2020.5.31,471.36859
2020.6.1,471.8320054
2020.6.2,472.1597552
2020.6.3,472.1519762
2020.6.4,472.283377
2020.6.5,472.4144793
2020.6.6,472.8139311
2020.6.7,472.8918601
2020.6.8,473.0112948
2020.6.9,473.1211717
2020.6.10,473.0933797
2020.6.11,473.149238
2020.6.12,474.3972944
2020.6.13,474.4814206
2020.6.14,474.5426911
2020.6.15,474.7010374
2020.6.16,474.8288878
2020.6.17,474.9774758
2020.6.18,476.4545994
2020.6.19,476.5171596
2020.6.20,476.6065861
2020.6.21,476.4933487
2020.6.22,476.4131027
2020.6.23,476.3267866
2020.6.24,476.9818062
2020.6.25,476.9921606
2020.6.26,477.531772
2020.6.27,477.5329531
2020.6.28,477.39564
2020.6.29,478.0119246
2020.6.30,478.1397264
2020.7.1,478.2388341
2020.7.2,478.8909766
2020.7.3,479.8982741
2020.7.4,480.6374118
2020.7.5,480.6972549
2020.7.6,481.0786599
2020.7.7,481.2091676
2020.7.8,481.6162223
2020.7.9,483.2787504
2020.7.10,483.2833899
2020.7.11,483.2938007
2020.7.12,483.262498
2020.7.13,483.3539657
2020.7.14,483.387708
2020.7.15,483.5668707
2020.7.16,484.0445306
2020.7.17,484.920039
2020.7.18,485.309798
2020.7.19,485.5148609
2020.7.20,485.5494086
2020.7.21,485.5863305
2020.7.22,485.6363958
2020.7.23,485.8136392
2020.7.24,485.9071422
2020.7.25,485.9202459
2020.7.26,486.0899379
2020.7.27,487.4116989
2020.7.28,487.6172251
2020.7.29,487.7629816
2020.7.30,488.7952224
2020.7.31,487.6487484
2020.8.1,487.7121327
2020.8.2,487.7010706
2020.8.3,487.6393713
2020.8.4,487.6379427
2020.8.5,488.0953386
2020.8.6,488.5123299
2020.8.7,488.4830387
2020.8.8,488.2871715
2020.8.9,488.1263137
2020.8.10,488.5873061
2020.8.11,488.7349441
2020.8.12,488.8711227
2020.8.13,488.9893944
2020.8.14,489.4629444
2020.8.15,489.5384483
2020.8.16,489.6690256
2020.8.17,490.0366558
2020.8.18,490.4600127
2020.8.19,490.6679839
2020.8.20,490.8162114
2020.8.21,491.6216716
2020.8.22,491.4666856
2020.8.23,490.2321913
2020.8.24,490.2380229
2020.8.25,490.247519
2020.8.26,490.3351562
2020.8.27,490.3947606
2020.8.28,490.2151817
2020.8.29,490.317682
2020.8.30,490.334849
2020.8.31,490.7788751
2020.9.1,491.1109155
2020.9.2,491.8684195
2020.9.3,492.0266676
2020.9.4,491.8765249
2020.9.5,491.9899012
2020.9.6,492.0560163
2020.9.7,491.9476041
2020.9.8,491.8921385
2020.9.9,492.5178775
2020.9.10,493.5156111
2020.9.11,493.6330773
2020.9.12,493.6063457
2020.9.13,493.5300802
2020.9.14,493.5782531
2020.9.15,493.9803145
2020.9.16,494.0879997
2020.9.17,494.6206582
2020.9.18,494.739959
2020.9.19,494.715654
2020.9.20,495.4391018
2020.9.21,496.4006136
2020.9.22,496.5728439
2020.9.23,497.2306271
2020.9.24,498.0269048
2020.9.25,498.3519554
2020.9.26,498.3273772
2020.9.27,499.6384423
2020.9.28,499.5836857
2020.9.29,500.8030594
2020.9.30,500.6759274
2020.10.1,500.7549125
2020.10.2,501.0262889
2020.10.3,501.4333403
2020.10.4,501.2087443
2020.10.5,501.8261841
2020.10.6,501.5509515
2020.10.7,501.6321788
2020.10.8,501.4149941
2020.10.9,501.377527
2020.10.10,501.3015129
2020.10.11,500.6339682
2020.10.12,500.7828069
2020.10.13,500.9553524
2020.10.14,501.3243864
2020.10.15,501.4042327
2020.10.16,501.5322054
2020.10.17,501.5040246
2020.10.18,501.7329492
2020.10.19,502.0671847
2020.10.20,502.8593721
2020.10.21,502.7438912
2020.10.22,503.3022324
2020.10.23,503.4977376
2020.10.24,505.3348648
2020.10.25,505.1977661
2020.10.26,505.2905329
2020.10.27,505.3839688
2020.10.28,505.6741143
2020.10.29,505.7391994
2020.10.30,505.955231
2020.10.31,506.0563793
2020.11.1,506.4131775
2020.11.2,506.847631
2020.11.3,528.5716972
2020.11.4,528.9519751
2020.11.5,529.4928649
2020.11.6,532.1963289
2020.11.7,532.4100585
2020.11.8,531.3758135
2020.11.9,532.199609
2020.11.10,532.6544393
2020.11.11,532.6465374
2020.11.12,533.3991292
2020.11.13,533.8876467
2020.11.14,534.167805
2020.11.15,534.2794728
2020.11.16,534.3804851
2020.11.17,533.7617135
2020.11.18,533.9199512
2020.11.19,534.1261452
2020.11.20,533.8055883
2020.11.21,533.0697854
2020.11.22,532.2877842
2020.11.23,531.7151817
2020.11.24,530.9163946
2020.11.25,528.0150163
2020.11.26,526.5170192
2020.11.27,525.185486
2020.11.28,523.7612712
2020.11.29,522.5215192
2020.11.30,520.9143941
2020.12.1,517.7347206
2020.12.2,516.664951
2020.12.3,515.6986528
2020.12.4,513.4724365
2020.12.5,511.5765485
2020.12.6,511.0556169
2020.12.7,509.7779233
2020.12.8,509.0151044
