Date,미결제 약정 (Open Interest)
2021.6.30,6660502136
2021.7.1,6587256155
2021.7.2,6716341869
2021.7.3,6876215235
2021.7.4,6996618473
2021.7.5,6672979819
2021.7.6,6741162262
2021.7.7,6735996247
2021.7.8,6787281402
2021.7.9,6797650973
2021.7.10,6803054800
2021.7.11,7072662821
2021.7.12,6931176695
2021.7.13,6859390477
2021.7.14,6737159205
2021.7.15,7046210378
2021.7.16,6734098501
2021.7.17,6911039107
2021.7.18,6912431859
2021.7.19,7318570943
2021.7.20,7004447819
2021.7.21,7179046459
2021.7.22,7176206682
2021.7.23,7719515821
2021.7.24,8028878042
2021.7.25,8545600611
2021.7.26,7506380590
2021.7.27,7904741933
2021.7.28,8124952647
2021.7.29,8250729270
2021.7.30,8643630825
2021.7.31,8427913664
2021.8.1,7629799663
2021.8.2,7562241952
2021.8.3,7728259509
2021.8.4,7968564539
2021.8.5,7835217081
2021.8.6,8694212732
2021.8.7,9255466365
2021.8.8,8860830805
2021.8.9,9602237886
2021.8.10,9606417197
2021.8.11,9586605775
2021.8.12,9452358671
2021.8.13,9959388927
2021.8.14,9820720764
2021.8.15,9614864035
2021.8.16,9924177912
2021.8.17,9684974643
2021.8.18,9320983676
2021.8.19,9713660564
2021.8.20,10641860286
2021.8.21,10659998914
2021.8.22,10690990830
2021.8.23,11069814104
2021.8.24,11217607528
2021.8.25,10950991466
2021.8.26,10889464362
2021.8.27,10945581426
2021.8.28,11096701206
2021.8.29,10961202978
2021.8.30,10881561177
2021.8.31,11079666472
2021.9.1,11321435019
2021.9.2,11942270576
2021.9.3,11975108732
2021.9.4,11668147547
2021.9.5,12866405513
2021.9.6,13160401031
2021.9.7,9311092104
2021.9.8,9094888711
2021.9.9,9209027153
2021.9.10,9167261131
2021.9.11,9132362633
2021.9.12,9216532901
2021.9.13,9234802643
2021.9.14,9898059391
2021.9.15,10576700674
2021.9.16,10111419719
2021.9.17,10166884493
2021.9.18,10364675480
2021.9.19,10291321053
2021.9.20,9297763787
2021.9.21,8368404021
2021.9.22,8896114893
2021.9.23,9147245721
2021.9.24,8722029270
