Date,Data
2018.2.10,1879204.011
2018.2.11,1879836.577
2018.2.12,1879116.176
2018.2.13,1879547.373
2018.2.14,1880096.775
2018.2.15,1880822.243
2018.2.16,1880936.517
2018.2.17,1880637.942
2018.2.18,1881250.003
2018.2.19,1881538.677
2018.2.20,1881714.502
2018.2.21,1881537.803
2018.2.22,1881353.018
2018.2.23,1881488.7
2018.2.24,1880355.061
2018.2.25,1880964.104
2018.2.26,1880830.088
2018.2.27,1880770.615
2018.2.28,1873819.168
2018.3.1,1873889.967
2018.3.2,1873526.07
2018.3.3,1873207.642
2018.3.4,1872780.983
2018.3.5,1873103.037
2018.3.6,1873135.222
2018.3.7,1873447.082
2018.3.8,1871077.424
2018.3.9,1871900.92
2018.3.10,1871482.436
2018.3.11,1862732.468
2018.3.12,1861997.416
2018.3.13,1859613.727
2018.3.14,1857939.996
2018.3.15,1858548.399
2018.3.16,1855411.448
2018.3.17,1855947.53
2018.3.18,1856305.562
2018.3.19,1857011.648
2018.3.20,1855625.623
2018.3.21,1856184.699
2018.3.22,1856612.961
2018.3.23,1855934.613
2018.3.24,1856142.012
2018.3.25,1856369.938
2018.3.26,1857032.297
2018.3.27,1857753.313
2018.3.28,1859042.207
2018.3.29,1858659.287
2018.3.30,1859313.013
2018.3.31,1860060.443
2018.4.1,1854490.685
2018.4.2,1854304.931
2018.4.3,1856137.245
2018.4.4,1856974.779
2018.4.5,1857468.188
2018.4.6,1856940.473
2018.4.7,1856830.902
2018.4.8,1857220.866
2018.4.9,1858499.211
2018.4.10,1857983.044
2018.4.11,1853219.464
2018.4.12,1854200.053
2018.4.13,1854037.596
2018.4.14,1854182.466
2018.4.15,1853755.733
2018.4.16,1853359.239
2018.4.17,1853120.357
2018.4.18,1853478.006
2018.4.19,1853186.563
2018.4.20,1852486.331
2018.4.21,1852606.269
2018.4.22,1853983.312
2018.4.23,1853774.274
2018.4.24,1854430.224
2018.4.25,1855172.035
2018.4.26,1853499.543
2018.4.27,1853304.53
2018.4.28,1853327.328
2018.4.29,1852654.032
2018.4.30,1853177.781
2018.5.1,1854051.626
2018.5.2,1853722.073
2018.5.3,1853247.239
2018.5.4,1854101.982
2018.5.5,1854529.698
2018.5.6,1854602.224
2018.5.7,1852993.288
2018.5.8,1852795.389
2018.5.9,1853374.901
2018.5.10,1854053.884
2018.5.11,1853545.348
2018.5.12,1854415.541
2018.5.13,1854848.202
2018.5.14,1854906.768
2018.5.15,1854781.989
2018.5.16,1855549.161
2018.5.17,1855775.939
2018.5.18,1854994.139
2018.5.19,1855343.06
2018.5.20,1855196.905
2018.5.21,1855188.115
2018.5.22,1854153.604
2018.5.23,1854923.23
2018.5.24,1855030.572
2018.5.25,1854136.478
2018.5.26,1854842.742
2018.5.27,1856020.719
2018.5.28,1855654.362
2018.5.29,1856115.751
2018.5.30,1856697.898
2018.5.31,1856355.585
2018.6.1,1855837.293
2018.6.2,1855726.91
2018.6.3,1856037.138
2018.6.4,1857263.773
2018.6.5,1857275.62
2018.6.6,1857319.928
2018.6.7,1856466.082
2018.6.8,1856206.948
2018.6.9,1860687.931
2018.6.10,1861410.342
2018.6.11,1860154.131
2018.6.12,1858277.331
2018.6.13,1858015.352
2018.6.14,1860040.08
2018.6.15,1858295.554
2018.6.16,1858536.386
2018.6.17,1859411.848
2018.6.18,1857257.563
2018.6.19,1858124.477
2018.6.20,1858873.111
2018.6.21,1857165.556
2018.6.22,1857038.516
2018.6.23,1857586.996
2018.6.24,1857511.779
2018.6.25,1857516.627
2018.6.26,1857871.008
2018.6.27,1856683.409
2018.6.28,1853582.906
2018.6.29,1854598.114
2018.6.30,1854871.446
2018.7.1,1853392.204
2018.7.2,1850943.312
2018.7.3,1852055.838
2018.7.4,1852451.571
2018.7.5,1852850.656
2018.7.6,1853330.565
2018.7.7,1853496.532
2018.7.8,1853070.335
2018.7.9,1852804.021
2018.7.10,1853912.959
2018.7.11,1854714.558
2018.7.12,1854549.555
2018.7.13,1855180.456
2018.7.14,1855085.987
2018.7.15,1854407.356
2018.7.16,1854356.264
2018.7.17,1855320.695
2018.7.18,1854963.382
2018.7.19,1852819.978
2018.7.20,1852997.289
2018.7.21,1853687.565
2018.7.22,1853837.239
2018.7.23,1854908.758
2018.7.24,1855267.277
2018.7.25,1856283.192
2018.7.26,1857002.404
2018.7.27,1856016.853
2018.7.28,1855959.743
2018.7.29,1856360.842
2018.7.30,1856826.926
2018.7.31,1856356.311
2018.8.1,1854804.647
2018.8.2,1855220.793
2018.8.3,1855908.78
2018.8.4,1854883.22
2018.8.5,1855788.563
2018.8.6,1855568.729
2018.8.7,1856916.135
2018.8.8,1855627.525
2018.8.9,1856169.899
2018.8.10,1856831.277
2018.8.11,1858188.808
2018.8.12,1858484.117
2018.8.13,1856413.977
2018.8.14,1857252.931
2018.8.15,1855784.893
2018.8.16,1854213.58
2018.8.17,1862115.13
2018.8.18,1861419.26
2018.8.19,1861466.824
2018.8.20,1862629.911
2018.8.21,1863397.574
2018.8.22,1863549.067
2018.8.23,1858191.668
2018.8.24,1855081.318
2018.8.25,1854678.058
2018.8.26,1855474.075
2018.8.27,1856750.128
2018.8.28,1857003.929
2018.8.29,1854062.86
2018.8.30,1853715.746
